timestamp,open,high,low,close,volume
2022-02-03 14:50:00,36551.864,36618.271,36500.254,36500.254,0.0
2022-02-03 14:55:00,36500.254,36580.123,36490.100,36545.678,0.0
2022-02-03 15:00:00,36545.678,36620.456,36520.789,36598.123,0.0
2022-02-03 15:05:00,36598.123,36650.234,36580.567,36625.890,0.0
2022-02-03 15:10:00,36625.890,36680.345,36600.123,36655.234,0.0
2022-02-03 15:15:00,36655.234,36700.567,36640.890,36682.345,0.0
2022-02-03 15:20:00,36682.345,36720.678,36660.123,36705.456,0.0
2022-02-03 15:25:00,36705.456,36750.789,36685.234,36728.567,0.0
2022-02-03 15:30:00,36728.567,36780.890,36710.345,36751.678,0.0
2022-02-03 15:35:00,36751.678,36800.123,36735.456,36774.789,0.0
